Generator type,File,Solver solution,Solver bound,Skyline,Skyline sorted,Concat,Annealing skyline
random,data/random/random_10_0.txt,8288.0,8288.0,8288,8288,8568,8288
random,data/random/random_20_0.txt,6540.0,6540.0,6540,6540,6540,6540
random,data/random/random_50_0.txt,2181.0,2181.0,2181,2181,2181,2181
random,data/random/random_100_0.txt,1734.0,-5285.0,93,29,88,0
guillotine_rand,data/random/guillotine_rand_10_0.txt,0.0,0.0,0,0,0,0
guillotine_rand,data/random/guillotine_rand_20_0.txt,368.0,0.0,2258,775,187,143
guillotine_rand,data/random/guillotine_rand_50_0.txt,897.0,0.0,490,286,1026,50
guillotine_rand,data/random/guillotine_rand_100_0.txt,1739.0,0.0,364,431,648,0
guillotine_equal,data/random/guillotine_equal_10_0.txt,0.0,0.0,0,0,0,0
guillotine_equal,data/random/guillotine_equal_20_0.txt,462.0,0.0,1232,958,1646,0
guillotine_equal,data/random/guillotine_equal_50_0.txt,964.0,0.0,1060,440,695,80
guillotine_equal,data/random/guillotine_equal_100_0.txt,2324.0,0.0,690,316,420,25
guillotine_max,data/random/guillotine_max_10_0.txt,0.0,0.0,1170,1512,0,0
guillotine_max,data/random/guillotine_max_20_0.txt,288.0,0.0,1710,618,1332,0
guillotine_max,data/random/guillotine_max_50_0.txt,1046.0,0.0,759,506,774,81
guillotine_max,data/random/guillotine_max_100_0.txt,1457.0,0.0,361,315,329,0
random,data/random/random_10_1.txt,75.0,75.0,474,163,318,75
random,data/random/random_20_1.txt,99.0,-45.0,183,108,423,18
random,data/random/random_50_1.txt,827.0,-67.0,885,338,509,33
random,data/random/random_100_1.txt,3463.0,68.0,701,248,905,68
